--------------------------------------------------------------
   CONTROL DE TEMPERATURA DE PAVA ELECTRICA
--------------------------------------------------------------
Mantiene la T° del agua por arriba de 83.00 ºC
Calienta como maximo la T° del Agua a 87.00 ºC
llega al punto maximo (87°) y se tira medio litro de agua fria

Tiempo	Amb	Agua	Estado Control [0/1]	
0	23.69	26.56	1	
2001	23.69	26.56	1	
4001	23.69	26.56	1	
6001	23.69	26.56	1	
8001	23.69	26.56	1	
10001	23.69	26.56	1	
12001	23.75	26.56	1	
14001	23.75	26.56	1	
16001	23.75	26.56	1	
18001	23.69	26.56	1	
20001	23.75	26.56	1	
22001	23.75	26.56	1	
24001	23.75	26.56	1	
26001	23.75	26.56	1	
28001	23.75	26.50	1	
30001	23.75	26.44	1	
32001	23.81	26.44	1	
34001	23.75	26.37	1	
36001	23.81	27.31	1	
38001	23.81	29.37	1	
40001	23.75	31.12	1	
42001	23.75	32.69	1	
44001	23.75	33.69	1	
46001	23.75	33.38	1	
48001	23.75	33.13	1	
50001	23.75	34.56	1	
52001	23.75	35.69	1	
54001	23.75	37.00	1	
56001	23.75	37.63	1	
58001	23.81	38.88	1	
60001	23.81	40.44	1	
62001	23.81	41.88	1	
64001	23.75	43.69	1	
66001	23.75	45.44	1	
68001	23.81	47.13	1	
70001	23.81	47.69	1	
72001	23.75	48.00	1	
74001	23.75	48.75	1	
76001	23.75	49.63	1	
78001	23.81	50.63	1	
80001	23.81	51.94	1	
82001	23.75	53.56	1	
84001	23.75	55.00	1	
86001	23.75	56.19	1	
88001	23.81	57.19	1	
90001	23.81	57.75	1	
92001	23.75	58.56	1	
94001	23.75	60.25	1	
96001	23.75	61.81	1	
98001	23.75	62.94	1	
100001	23.75	64.00	1	
102001	23.75	65.37	1	
104001	23.81	66.50	1	
106001	23.75	67.19	1	
108001	23.75	68.06	1	
110001	23.81	69.25	1	
112001	23.81	70.50	1	
114001	23.81	71.94	1	
116001	23.75	73.06	1	
118001	23.81	73.75	1	
120001	23.75	75.06	1	
122001	23.81	76.31	1	
124001	23.81	77.31	1	
126001	23.81	78.19	1	
128001	23.81	79.19	1	
130001	23.81	80.25	1	
132001	23.81	81.31	1	
134001	23.75	82.44	1	
136001	23.75	83.50	1	
138001	23.81	84.50	1	
140001	23.75	85.69	1	
142001	23.75	86.50	1	
144001	23.75	88.06	0	
146001	23.81	89.50	0	
148001	23.81	90.62	0	
150001	23.81	91.62	0	
152001	23.81	92.06	0	
154001	23.75	92.12	0	
156001	23.81	92.37	0	
158001	23.81	92.75	0	
160001	23.81	91.44	0	
162001	23.81	84.00	0	
164001	23.81	76.06	1	
166001	23.81	66.87	1	
168001	23.81	63.25	1	
170001	23.81	59.13	1	
172001	23.81	57.69	1	
174001	23.81	57.69	1	
176001	23.81	58.56	1	
178001	23.81	59.38	1	
180001	23.81	60.13	1	
182001	23.81	60.88	1	
184001	23.81	61.56	1	
186001	23.81	62.31	1	
188001	23.81	62.88	1	
190001	23.81	63.44	1	
192001	23.81	64.12	1	
194001	23.81	65.19	1	
196001	23.81	66.25	1	
198001	23.81	67.00	1	
200001	23.81	67.44	1	
202001	23.81	67.81	1	
204001	23.81	68.12	1	
206001	23.81	68.44	1	
208001	23.81	69.00	1	
210001	23.81	69.69	1	
212001	23.81	70.37	1	
214001	23.81	70.81	1	
216001	23.81	71.31	1	
218001	23.81	71.75	1	
220001	23.81	72.06	1	
222001	23.81	72.56	1	
224001	23.81	73.19	1	
226001	23.81	73.69	1	
228001	23.81	74.12	1	
230001	23.81	74.62	1	
232001	23.81	75.31	1	
234001	23.75	75.87	1	
236001	23.81	76.37	1	
238001	23.75	76.81	1	
240001	23.75	77.37	1	
242001	23.81	77.87	1	
244001	23.81	78.44	1	
246001	23.75	79.00	1	
248001	23.75	79.69	1	
250001	23.81	80.56	1	
252001	23.75	81.37	1	
254001	23.75	82.25	1	
256001	23.75	83.12	1	
258001	23.81	83.87	1	
260001	23.81	84.37	1	
262001	23.81	84.87	1	
264001	23.81	85.25	1	
266001	23.81	85.69	1	
268001	23.81	86.12	1	
270001	23.81	86.87	1	
272001	23.81	87.62	0	
274001	23.81	88.19	0	
276001	23.81	89.06	0	
278001	23.81	89.62	0	
280001	23.81	90.06	0	
282001	23.81	90.37	0	
284001	23.81	90.69	0	
286001	23.81	90.94	0	
288001	23.81	91.12	0	
290001	23.81	91.25	0	
292001	23.81	91.31	0	
294001	23.81	91.31	0	
296001	23.81	91.31	0	
298001	23.81	91.25	0	
300001	23.81	91.31	0	
302001	23.87	91.31	0	
304001	23.81	91.25	0	
306001	23.87	91.25	0	
308001	23.81	91.19	0	
310001	23.81	91.19	0	
312001	23.81	91.19	0	
314001	23.81	91.19	0	
316001	23.81	91.12	0	
318001	23.81	91.06	0	
320001	23.81	91.06	0	
322001	23.87	91.06	0	
324001	23.81	91.00	0	
326001	23.87	91.06	0	
328001	23.87	91.06	0	
330001	23.81	91.06	0	
332001	23.87	91.06	0	
334001	23.87	91.00	0	
PARADA DE EMERGENCIA
