--------------------------------------------------------------
   CONTROL DE TEMPERATURA DE PAVA ELECTRICA
--------------------------------------------------------------
Mantiene la T° del agua por arriba de 50.00 ºC
Calienta como maximo la T° del Agua a 90.00 ºC
No se termino el ciclo debido a falta de tiempo
Tiempo	Amb	Agua	Estado Control [0/1]	
0	24.00	24.69	1	
2001	24.00	24.69	1	
4001	24.00	24.69	1	
6001	24.00	24.69	1	
8001	24.00	24.69	1	
10001	24.00	24.69	1	
12001	24.00	24.69	1	
14001	24.00	24.75	1	
16001	24.00	24.69	1	
18001	24.00	24.69	1	
20001	24.00	24.69	1	
22001	24.00	24.75	1	
24001	24.00	24.69	1	
26001	24.00	24.75	1	
28001	24.00	24.75	1	
30001	24.00	25.00	1	
32001	24.00	25.81	1	
34001	24.00	26.62	1	
36001	24.00	27.50	1	
38001	24.00	28.44	1	
40001	24.00	29.44	1	
42001	24.00	30.44	1	
44001	24.00	31.31	1	
46001	24.00	32.19	1	
48001	24.00	33.06	1	
50001	24.00	33.81	1	
52001	24.00	34.75	1	
54001	24.00	35.69	1	
56001	23.94	36.69	1	
58001	24.00	37.56	1	
60001	23.94	38.50	1	
62001	23.94	39.38	1	
64001	23.94	40.19	1	
66001	23.94	40.94	1	
68001	23.87	41.81	1	
70001	23.94	42.75	1	
72001	23.87	43.69	1	
74001	23.87	44.63	1	
76001	23.87	45.50	1	
78001	23.87	46.38	1	
80001	23.87	47.25	1	
82001	23.94	48.06	1	
84001	23.94	48.88	1	
86001	23.87	49.75	1	
88001	23.87	50.63	1	
90001	23.87	51.56	1	
92001	23.87	52.44	1	
94001	23.94	53.19	1	
96001	23.94	53.94	1	
98001	23.87	54.75	1	
100001	23.94	55.56	1	
102001	23.87	56.44	1	
104001	23.87	57.25	1	
106001	23.87	58.06	1	
108001	23.87	58.94	1	
110001	23.87	59.88	1	
112001	23.87	60.81	1	
114001	23.87	61.56	1	
116001	23.87	62.44	1	
118001	23.87	63.25	1	
120001	23.87	64.12	1	
122001	23.87	65.06	1	
124001	23.87	66.06	1	
126001	23.87	66.81	1	
128001	23.87	67.75	1	
130001	23.87	68.62	1	
132001	23.87	69.50	1	
134001	23.87	70.44	1	
136001	23.87	71.37	1	
138001	23.87	72.25	1	
140001	23.87	73.12	1	
142001	23.87	74.06	1	
144001	23.87	75.00	1	
146001	23.87	75.81	1	
148001	23.87	76.69	1	
150001	23.87	77.62	1	
152001	23.87	78.56	1	
154001	23.87	79.37	1	
156001	23.87	80.12	1	
158001	23.87	81.00	1	
160001	23.87	82.00	1	
162001	23.87	82.69	1	
164001	23.87	83.44	1	
