--------------------------------------------------------------
   CONTROL DE TEMPERATURA DE PAVA ELECTRICA
--------------------------------------------------------------
Mantiene la T° del agua por arriba de 83.00 ºC
Calienta como maximo la T° del Agua a 87.00 ºC
tiene 2 ciclos

Tiempo	Amb	Agua	Estado Control [0/1]	
0	23.81	21.25	1	
2001	23.81	21.25	1	
4001	23.81	21.31	1	
6001	23.81	21.25	1	
8001	23.87	21.25	1	
10001	23.87	21.31	1	
12001	23.87	21.31	1	
14001	23.87	21.62	1	
16001	23.87	22.37	1	
18001	23.87	23.37	1	
20001	23.87	24.25	1	
22001	23.87	25.19	1	
24001	23.87	26.31	1	
26001	23.87	27.44	1	
28001	23.87	28.50	1	
30001	23.87	29.37	1	
32001	23.87	30.31	1	
34001	23.87	31.19	1	
36001	23.87	31.94	1	
38001	23.87	32.50	1	
40001	23.87	33.19	1	
42001	23.87	33.94	1	
44001	23.87	34.94	1	
46001	23.87	35.94	1	
48001	23.87	37.00	1	
50001	23.87	37.94	1	
52001	23.94	38.56	1	
54001	23.87	39.19	1	
56001	23.87	39.75	1	
58001	23.87	40.50	1	
60001	23.94	41.31	1	
62001	23.87	42.19	1	
64001	23.87	43.13	1	
66001	23.87	43.88	1	
68001	23.87	44.69	1	
70001	23.87	45.44	1	
72001	23.87	46.19	1	
74001	23.87	47.19	1	
76001	23.87	48.25	1	
78001	23.87	49.06	1	
80001	23.87	49.81	1	
82001	23.87	50.56	1	
84001	23.94	51.31	1	
86001	23.87	52.13	1	
88001	23.87	53.00	1	
90001	23.87	53.88	1	
92001	23.87	54.69	1	
94001	23.94	55.56	1	
96001	23.87	56.50	1	
98001	23.87	57.25	1	
100001	23.87	57.88	1	
102001	23.87	58.56	1	
104001	23.94	59.38	1	
106001	23.87	60.19	1	
108001	23.87	61.00	1	
110001	23.87	61.75	1	
112001	23.87	62.75	1	
114001	23.94	63.75	1	
116001	23.87	64.69	1	
118001	23.94	65.56	1	
120001	23.94	66.44	1	
122001	23.94	67.19	1	
124001	23.94	68.00	1	
126001	23.94	69.06	1	
128001	23.94	70.00	1	
130001	23.94	70.87	1	
132001	23.94	71.75	1	
134001	23.94	72.56	1	
136001	23.94	73.44	1	
138001	23.94	74.31	1	
140001	23.94	75.19	1	
142001	23.94	76.12	1	
144001	24.00	77.00	1	
146001	24.00	77.81	1	
148001	24.00	78.75	1	
150001	24.00	79.75	1	
152001	24.00	80.56	1	
154001	24.00	81.31	1	
156001	24.00	82.06	1	
158001	24.00	82.69	1	
160001	24.06	83.37	1	
162001	24.06	84.37	1	
164001	24.06	85.31	1	
166001	24.06	86.25	1	
168001	24.00	87.12	0	
170001	24.06	87.87	0	
172001	24.06	88.56	0	
174001	24.00	89.19	0	
176001	24.00	89.69	0	
178001	24.00	90.19	0	
180001	24.00	90.44	0	
182001	24.00	90.62	0	
184001	24.00	90.69	0	
186001	24.00	90.75	0	
188001	24.00	90.75	0	
190001	24.00	90.75	0	
192001	24.00	90.69	0	
194001	24.00	90.69	0	
196001	24.00	90.62	0	
198001	24.00	90.56	0	
200001	24.00	90.44	0	
202001	24.00	90.37	0	
204001	24.00	90.25	0	
206001	24.00	90.19	0	
208001	24.00	90.12	0	
210001	24.00	90.06	0	
212001	24.00	90.00	0	
214001	24.00	89.94	0	
216001	24.00	89.87	0	
218001	24.00	89.81	0	
220001	24.00	89.69	0	
222001	24.00	89.69	0	
224001	24.00	89.62	0	
226001	24.00	89.56	0	
228001	24.00	89.56	0	
230001	24.00	89.56	0	
232001	24.00	89.56	0	
234001	24.00	89.56	0	
236001	24.00	89.56	0	
238001	24.00	89.50	0	
240001	24.00	89.44	0	
242001	23.94	89.37	0	
244001	24.00	89.31	0	
246001	24.00	89.25	0	
248001	24.00	89.19	0	
250001	23.94	89.12	0	
252001	23.94	89.12	0	
254001	24.00	89.06	0	
256001	23.94	89.06	0	
258001	24.00	89.00	0	
260001	23.94	89.00	0	
262001	23.94	88.94	0	
264001	24.00	88.87	0	
266001	24.00	88.81	0	
268001	23.94	88.75	0	
270001	23.94	88.69	0	
272001	23.94	88.62	0	
274001	23.94	88.62	0	
276001	23.94	88.62	0	
278001	24.00	88.56	0	
280001	23.94	88.50	0	
282001	23.94	88.50	0	
284001	23.94	88.50	0	
286001	24.00	88.44	0	
288001	23.94	88.44	0	
290001	24.00	88.44	0	
292001	24.00	88.44	0	
294001	24.00	88.37	0	
296001	24.00	88.31	0	
298001	24.00	88.25	0	
300001	24.00	88.25	0	
302001	24.00	88.19	0	
304001	24.00	88.12	0	
306001	24.00	88.12	0	
308001	24.00	88.06	0	
310001	24.00	88.06	0	
312001	24.00	88.06	0	
314001	24.00	88.06	0	
316001	24.06	88.00	0	
318001	24.00	88.00	0	
320001	24.00	87.94	0	
322001	24.00	87.87	0	
324001	24.06	87.81	0	
326001	24.06	87.75	0	
328001	24.00	87.69	0	
330001	24.00	87.69	0	
332001	24.06	87.62	0	
334001	24.00	87.56	0	
336001	24.06	87.56	0	
338001	24.06	87.56	0	
340001	24.00	87.56	0	
342001	24.00	87.50	0	
344001	24.06	87.50	0	
346001	24.06	87.50	0	
348001	24.00	87.50	0	
350001	24.00	87.50	0	
352001	24.00	87.44	0	
354001	24.06	87.44	0	
356001	24.00	87.44	0	
358001	24.00	87.37	0	
360001	24.00	87.31	0	
362001	24.00	87.31	0	
364001	24.00	87.25	0	
366001	24.06	87.19	0	
368001	24.00	87.12	0	
370001	24.06	87.12	0	
372001	24.06	87.06	0	
374001	24.00	87.06	0	
376001	24.00	87.06	0	
378001	24.00	87.06	0	
380001	24.00	87.00	0	
382001	24.00	86.94	0	
384001	24.00	86.94	0	
386001	24.00	86.87	0	
388001	24.00	86.87	0	
390001	24.06	86.81	0	
392001	24.06	86.81	0	
394001	24.06	86.81	0	
396001	24.00	86.75	0	
398001	24.00	86.75	0	
400001	24.00	86.75	0	
402001	24.06	86.75	0	
404001	24.06	86.69	0	
406001	24.06	86.62	0	
408001	24.06	86.62	0	
410001	24.00	86.56	0	
412001	24.00	86.50	0	
414001	24.06	86.50	0	
416001	24.06	86.44	0	
418001	24.00	86.44	0	
420001	24.06	86.44	0	
422001	24.06	86.44	0	
424001	24.06	86.37	0	
426001	24.06	86.37	0	
428001	24.06	86.31	0	
430001	24.06	86.31	0	
432001	24.06	86.31	0	
434001	24.06	86.25	0	
436001	24.06	86.19	0	
438001	24.00	86.19	0	
440001	24.06	86.12	0	
442001	24.06	86.12	0	
444001	24.06	86.12	0	
446001	24.06	86.06	0	
448001	24.06	86.06	0	
450001	24.06	86.00	0	
452001	24.06	86.00	0	
454001	24.06	85.94	0	
456001	24.06	85.94	0	
458001	24.06	85.94	0	
460001	24.06	85.87	0	
462001	24.06	85.87	0	
464001	24.06	85.87	0	
466001	24.06	85.81	0	
468001	24.06	85.81	0	
470001	24.06	85.81	0	
472001	24.06	85.75	0	
474001	24.06	85.75	0	
476001	24.06	85.69	0	
478001	24.06	85.62	0	
480001	24.06	85.62	0	
482001	24.06	85.56	0	
484001	24.06	85.50	0	
486001	24.06	85.50	0	
488001	24.06	85.44	0	
490001	24.06	85.44	0	
492001	24.06	85.37	0	
494001	24.06	85.37	0	
496001	24.06	85.37	0	
498001	24.06	85.31	0	
500001	24.06	85.25	0	
502001	24.00	85.25	0	
504001	24.06	85.25	0	
506001	24.00	85.19	0	
508001	24.06	85.19	0	
510001	24.06	85.19	0	
512001	24.06	85.19	0	
514001	24.06	85.12	0	
516001	24.06	85.12	0	
518001	24.06	85.12	0	
520001	24.06	85.06	0	
522001	24.06	85.06	0	
524001	24.06	85.06	0	
526001	24.06	85.00	0	
528001	24.06	85.00	0	
530001	24.06	84.94	0	
532001	24.06	84.94	0	
534001	24.06	84.94	0	
536001	24.06	84.87	0	
538001	24.06	84.87	0	
540001	24.06	84.81	0	
542001	24.06	84.81	0	
544001	24.12	84.81	0	
546001	24.06	84.75	0	
548001	24.06	84.69	0	
550001	24.06	84.69	0	
552001	24.06	84.69	0	
554001	24.06	84.62	0	
556001	24.06	84.62	0	
558001	24.06	84.56	0	
560001	24.06	84.56	0	
562001	24.06	84.50	0	
564001	24.06	84.44	0	
566001	24.06	84.44	0	
568001	24.06	84.44	0	
570001	24.06	84.37	0	
572001	24.06	84.37	0	
574001	24.06	84.37	0	
576001	24.06	84.31	0	
578001	24.06	84.25	0	
580001	24.06	84.25	0	
582001	24.06	84.19	0	
584001	24.06	84.19	0	
586001	24.06	84.12	0	
588001	24.06	84.12	0	
590001	24.06	84.06	0	
592001	24.06	84.06	0	
594001	24.06	84.06	0	
596001	24.06	84.00	0	
598001	24.06	84.00	0	
600001	24.06	83.94	0	
602001	24.06	83.94	0	
604001	24.06	83.94	0	
606001	24.00	83.94	0	
608001	24.06	83.87	0	
610001	24.00	83.87	0	
612001	24.06	83.81	0	
614001	24.06	83.81	0	
616001	24.06	83.81	0	
618001	24.06	83.75	0	
620001	24.06	83.75	0	
622001	24.06	83.69	0	
624001	24.06	83.69	0	
626001	24.06	83.69	0	
628001	24.06	83.62	0	
630001	24.06	83.62	0	
632001	24.06	83.56	0	
634001	24.00	83.56	0	
636001	24.06	83.56	0	
638001	24.06	83.50	0	
640001	24.06	83.50	0	
642001	24.06	83.44	0	
644001	24.00	83.44	0	
646001	24.00	83.44	0	
648001	24.00	83.37	0	
650001	24.06	83.37	0	
652001	24.06	83.31	0	
654001	24.06	83.31	0	
656001	24.00	83.25	0	
658001	24.00	83.25	0	
660001	24.06	83.25	0	
662001	24.00	83.19	0	
664001	24.00	83.19	0	
